School_ID,SCHOOL,Total,year,the_geom,Address,Zip,Lat,Long,GeoNetwork,COMMAREA,race,percent,SEHS
400018,AUSTIN BUS & ENTRP ,150,2015,POINT (-87.76189101689764 41.88420467132072),231 N Pine Ave,60644,41.884205,-87.761891,3,AUSTIN,Black,98.7,Other CPS
400018,AUSTIN BUS & ENTRP ,150,2015,POINT (-87.76189101689764 41.88420467132072),231 N Pine Ave,60644,41.884205,-87.761891,3,AUSTIN,Latinx,1.3,Other CPS
400018,AUSTIN BUS & ENTRP ,150,2015,POINT (-87.76189101689764 41.88420467132072),231 N Pine Ave,60644,41.884205,-87.761891,3,AUSTIN,Asian,0,Other CPS
400018,AUSTIN BUS & ENTRP ,150,2015,POINT (-87.76189101689764 41.88420467132072),231 N Pine Ave,60644,41.884205,-87.761891,3,AUSTIN,Other,0,Other CPS
400018,AUSTIN BUS & ENTRP ,236,2013,POINT (-87.76189101689764 41.88420467132072),231 N Pine Ave,60644,41.884205,-87.761891,3,AUSTIN,White,0,Other CPS
400018,AUSTIN BUS & ENTRP ,236,2013,POINT (-87.76189101689764 41.88420467132072),231 N Pine Ave,60644,41.884205,-87.761891,3,AUSTIN,Black,99.2,Other CPS
400018,AUSTIN BUS & ENTRP ,236,2013,POINT (-87.76189101689764 41.88420467132072),231 N Pine Ave,60644,41.884205,-87.761891,3,AUSTIN,Latinx,0.8,Other CPS
400018,AUSTIN BUS & ENTRP ,236,2013,POINT (-87.76189101689764 41.88420467132072),231 N Pine Ave,60644,41.884205,-87.761891,3,AUSTIN,Asian,0,Other CPS
400018,AUSTIN BUS & ENTRP ,236,2013,POINT (-87.76189101689764 41.88420467132072),231 N Pine Ave,60644,41.884205,-87.761891,3,AUSTIN,Other,0,Other CPS
400018,AUSTIN BUS & ENTRP ,317,2012,POINT (-87.76189101689764 41.88420467132072),231 N Pine Ave,60644,41.884205,-87.761891,3,AUSTIN,White,0,Other CPS
400018,AUSTIN BUS & ENTRP ,317,2012,POINT (-87.76189101689764 41.88420467132072),231 N Pine Ave,60644,41.884205,-87.761891,3,AUSTIN,Black,98.7,Other CPS
400018,AUSTIN BUS & ENTRP ,317,2012,POINT (-87.76189101689764 41.88420467132072),231 N Pine Ave,60644,41.884205,-87.761891,3,AUSTIN,Latinx,0.9,Other CPS
400018,AUSTIN BUS & ENTRP ,317,2012,POINT (-87.76189101689764 41.88420467132072),231 N Pine Ave,60644,41.884205,-87.761891,3,AUSTIN,Asian,0,Other CPS
400018,AUSTIN BUS & ENTRP ,317,2012,POINT (-87.76189101689764 41.88420467132072),231 N Pine Ave,60644,41.884205,-87.761891,3,AUSTIN,Other,0.3,Other CPS
400018,AUSTIN BUS & ENTRP ,383,2011,POINT (-87.76189101689764 41.88420467132072),231 N Pine Ave,60644,41.884205,-87.761891,3,AUSTIN,White,0,Other CPS
400018,AUSTIN BUS & ENTRP ,383,2011,POINT (-87.76189101689764 41.88420467132072),231 N Pine Ave,60644,41.884205,-87.761891,3,AUSTIN,Black,99.5,Other CPS
400018,AUSTIN BUS & ENTRP ,383,2011,POINT (-87.76189101689764 41.88420467132072),231 N Pine Ave,60644,41.884205,-87.761891,3,AUSTIN,Latinx,0.5,Other CPS
400018,AUSTIN BUS & ENTRP ,383,2011,POINT (-87.76189101689764 41.88420467132072),231 N Pine Ave,60644,41.884205,-87.761891,3,AUSTIN,Asian,0,Other CPS
400018,AUSTIN BUS & ENTRP ,383,2011,POINT (-87.76189101689764 41.88420467132072),231 N Pine Ave,60644,41.884205,-87.761891,3,AUSTIN,Other,0,Other CPS
400018,AUSTIN BUS & ENTRP ,102,2016,POINT (-87.76189101689764 41.88420467132072),231 N Pine Ave,60644,41.884205,-87.761891,3,AUSTIN,White,0,Other CPS
400018,AUSTIN BUS & ENTRP ,102,2016,POINT (-87.76189101689764 41.88420467132072),231 N Pine Ave,60644,41.884205,-87.761891,3,AUSTIN,Black,96.1,Other CPS
400018,AUSTIN BUS & ENTRP ,102,2016,POINT (-87.76189101689764 41.88420467132072),231 N Pine Ave,60644,41.884205,-87.761891,3,AUSTIN,Latinx,2.9,Other CPS
400018,AUSTIN BUS & ENTRP ,102,2016,POINT (-87.76189101689764 41.88420467132072),231 N Pine Ave,60644,41.884205,-87.761891,3,AUSTIN,Asian,0,Other CPS
400018,AUSTIN BUS & ENTRP ,102,2016,POINT (-87.76189101689764 41.88420467132072),231 N Pine Ave,60644,41.884205,-87.761891,3,AUSTIN,Other,0.98,Other CPS
400022,CHGO ARTS CONTR ,577,2015,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,White,15.6,Other CPS
400022,CHGO ARTS CONTR ,577,2015,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Black,53.9,Other CPS
400022,CHGO ARTS CONTR ,577,2015,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Latinx,24.3,Other CPS
400022,CHGO ARTS CONTR ,577,2015,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Asian,2.08,Other CPS
400022,CHGO ARTS CONTR ,577,2015,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Other,4.1629,Other CPS
400022,CHGO ARTS CONTR ,583,2013,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,White,12,Other CPS
400022,CHGO ARTS CONTR ,583,2013,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Black,53.2,Other CPS
400022,CHGO ARTS CONTR ,583,2013,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Latinx,24.9,Other CPS
400022,CHGO ARTS CONTR ,583,2013,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Asian,1,Other CPS
400022,CHGO ARTS CONTR ,583,2013,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Other,8.9,Other CPS
400022,CHGO ARTS CONTR ,437,2012,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,White,13.5,Other CPS
400022,CHGO ARTS CONTR ,437,2012,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Black,52.9,Other CPS
400022,CHGO ARTS CONTR ,437,2012,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Latinx,25.6,Other CPS
400022,CHGO ARTS CONTR ,437,2012,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Asian,1.4,Other CPS
400022,CHGO ARTS CONTR ,437,2012,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Other,6.7,Other CPS
400022,CHGO ARTS CONTR ,300,2011,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,White,14,Other CPS
400022,CHGO ARTS CONTR ,300,2011,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Black,50.3,Other CPS
400022,CHGO ARTS CONTR ,300,2011,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Latinx,27.7,Other CPS
400022,CHGO ARTS CONTR ,300,2011,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Asian,1.7,Other CPS
400022,CHGO ARTS CONTR ,300,2011,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Other,6.3,Other CPS
400022,CHGO ARTS CONTR ,613,2019,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,White,19.9,Other CPS
400022,CHGO ARTS CONTR ,613,2019,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Black,33.8,Other CPS
400022,CHGO ARTS CONTR ,613,2019,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Latinx,35.2,Other CPS
400022,CHGO ARTS CONTR ,613,2019,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Asian,1.794,Other CPS
